StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,pid_base,pidstr_d,pidstr_r,pidlean,ideol,trust_1,trust_2,trust_3,trust_4,trust_DO,followpol,intro,rep1,rep2,acq1,acq2,hyp1,hyp2,incomp1,incomp2,breach1,breach2,educ,gender,race,income,age,troll,troll_oe,debrief,psid,pid,r1dr,r2dr,b1dr,b2dr,i1dr,i2dr,hyp1dr,hyp2dr,hyp1to,FL_39_DO,FL_46_DO,FL_55_DO,FL_43_DO,FL_59_DO,FL_60_DO
7/15/19 13:47,7/15/19 13:50,1,,100,160,1,7/15/19 13:50,R_2ykDRhvp8ibJ8RI,,,,,36.05409241,-79.10549927,preview,EN,29,3,,,1,3,2,2,2,2,1|3|2|4,1,1,1,2,2,1,5,4,1,2,1,3,2,2,1,5,44,1,,,,,Republican,Democratic,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_47,FL_57,FL_45,Replication1|Replication2,Acquiescence2|Hypocrisy2|Acquiescence1|Incompetence1|Incompetence2|Breach2|Hypocrisy1|Breach1
7/15/19 14:17,7/15/19 14:17,1,,100,47,1,7/15/19 14:17,R_9ZDqhC94Vjgxjhv,,,,,36.05409241,-79.10549927,preview,EN,,,,,,,,,,,2|4|3|1,,,,,,,,,,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_48,FL_56,FL_44,Replication2|Replication1,Acquiescence1|Hypocrisy1|Breach1|Incompetence1|Hypocrisy2|Acquiescence2|Incompetence2|Breach2
7/15/19 14:27,7/15/19 14:28,1,,100,41,1,7/15/19 14:28,R_3fNVb2kADNFnxLH,,,,,36.05409241,-79.10549927,preview,EN,,,,,,,,,,,2|3|4|1,,,,,,,,,,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_47,FL_57,FL_45,Replication1|Replication2,Hypocrisy2|Hypocrisy1|Breach1|Acquiescence2|Acquiescence1|Incompetence2|Breach2|Incompetence1
7/15/19 14:33,7/15/19 14:35,0,151.181.77.18,100,121,1,7/15/19 14:35,R_2P1GQfhJLZpSzBk,,,,,41.29629517,-72.93730164,anonymous,EN,27,1,1,,,3,4,2,3,1,4|2|3|1,2,1,2,3,2,3,3,1,2,3,1,3,2,1,3,5,28,1,,test,uHt3RyJV9q0n_--xN4At1w**,300112,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication1|Replication2,Hypocrisy2|Acquiescence1|Acquiescence2|Incompetence1|Breach1|Breach2|Incompetence2|Hypocrisy1
7/15/19 14:43,7/15/19 14:44,1,,100,39,1,7/15/19 14:44,R_posokHeGAA6VpbX,,,,,36.05409241,-79.10549927,preview,EN,,,,,,,,,,,1|3|4|2,,,,,,,,,,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Republican,Democrat,Republican,Democratic,Obama,FL_40,FL_47,FL_57,FL_45,Replication1|Replication2,Incompetence1|Hypocrisy1|Acquiescence1|Breach1|Breach2|Hypocrisy2|Incompetence2|Acquiescence2
7/15/19 14:56,7/15/19 14:58,0,151.181.77.18,100,121,1,7/15/19 14:58,R_3hA9XhlkJOMeiHC,,,,,41.29629517,-72.93730164,anonymous,EN,27,2,,1,,3,1,3,2,2,1|4|3|2,2,1,2,3,2,2,2,3,2,1,2,3,2,1,2,7,29,1,,test,uHt3RyJV9q03AN-sYS5uow**,300114,Republican,Democratic,Republican,Democratic,Democrat,Republican,Democratic,Republican,Trump,FL_41,FL_48,FL_56,FL_44,Replication2|Replication1,Incompetence1|Hypocrisy2|Breach1|Incompetence2|Hypocrisy1|Acquiescence1|Breach2|Acquiescence2
7/15/19 15:22,7/15/19 15:25,0,172.58.155.72,100,139,1,7/15/19 15:25,R_1pKCjOE0ytG0A2D,,,,,35.24259949,-80.74099731,anonymous,EN,34,3,,,2,6,1,3,2,2,2|4|1|3,2,1,2,3,3,3,3,3,2,2,2,4,2,2,1,3,34,1,,,uHt3RyJV9q2c19Zslr5Zag**,1595219931,Democratic,Republican,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_47,FL_57,FL_44,Replication1|Replication2,Acquiescence2|Hypocrisy2|Breach2|Incompetence1|Hypocrisy1|Incompetence2|Breach1|Acquiescence1
7/15/19 15:22,7/15/19 15:25,0,208.180.48.78,100,163,1,7/15/19 15:25,R_2OU7CmnJA9aKvi0,,,,,30.17129517,-93.22440338,anonymous,EN,34,2,,2,,4,2,2,2,2,4|1|3|2,2,1,2,2,2,3,2,2,3,2,3,3,4,2,1,8,34,2,thats what i think is i feel,,uHt3RyJV9q0VVj-0H4lHBA**,1597269811,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication1|Replication2,Hypocrisy1|Incompetence1|Breach1|Acquiescence1|Breach2|Hypocrisy2|Acquiescence2|Incompetence2
7/15/19 15:22,7/15/19 15:26,0,68.45.96.248,100,194,1,7/15/19 15:26,R_ZwO4iKuo0jMtm1j,,,,,40.30439758,-86.46890259,anonymous,EN,42,2,,1,,7,2,3,2,2,4|1|3|2,2,1,3,3,3,3,2,3,2,3,3,3,2,2,1,6,42,1,,,uHt3RyJV9q0kx3LdNGajUg**,1553440313,Democratic,Republican,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_47,FL_56,FL_45,Replication2|Replication1,Breach1|Hypocrisy1|Incompetence1|Breach2|Acquiescence1|Incompetence2|Acquiescence2|Hypocrisy2
7/15/19 15:22,7/15/19 15:26,0,174.253.7.18,100,229,1,7/15/19 15:26,R_2V87wigPAFhOqr2,,,,,35.48750305,-81.17549896,anonymous,EN,39,4,,,3,5,1,2,1,2,4|1|3|2,1,1,2,3,2,3,1,1,3,3,2,2,2,2,1,1,39,1,,,uHt3RyJV9q3jHy2AmPIghg**,1593189997,Democratic,Republican,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_47,FL_57,FL_44,Replication2|Replication1,Breach2|Hypocrisy1|Incompetence1|Acquiescence2|Hypocrisy2|Acquiescence1|Incompetence2|Breach1
