StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,pid_base,pidstr_d,pidstr_r,pidlean,ideol,trust_1,trust_2,trust_3,trust_4,trust_DO,followpol,intro,rep1,rep2,acq1,acq2,hyp1,hyp2,incomp1,incomp2,breach1,breach2,educ,gender,race,income,age,troll,troll_oe,debrief,age,year_of_birth,education,educationScore,gender,femaleAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,device,r1dr,r2dr,b1dr,b2dr,i1dr,i2dr,hyp1dr,hyp2dr,hyp1to,FL_39_DO,FL_46_DO,FL_55_DO,FL_43_DO,FL_59_DO,FL_60_DO
6/4/19 16:42,6/4/19 16:44,1,,100,123,1,6/4/19 16:44,R_4PnuYwmLM8GFUQh,,,,,35.91819763,-79.00350189,preview,EN,33,2,,2,,2,1,3,2,2,1|3|4|2,2,1,2,1,4,2,1,3,1,3,4,3,3,2,,,,1,,,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_48,FL_56,FL_45,,
6/5/19 12:02,6/5/19 12:06,1,,100,251,1,6/5/19 12:06,R_1GBUn2GMODge0mm,,,,,36.05409241,-79.10549927,preview,EN,23,2,,2,,1,3,3,2,3,1|3|2|4,2,1,2,3,,2,2,4,2,3,3,3,3,2,4,4,,1,,,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_47,FL_57,FL_44,Replication2|Replication1,Acquiescence1|Breach2|Hypocrisy2|Incompetence2|Incompetence1|Hypocrisy1|Acquiescence2|Breach1
6/5/19 12:08,6/5/19 12:13,1,,100,291,1,6/5/19 12:13,R_3Ea3DMpC1ZtpueL,,,,,36.05409241,-79.10549927,preview,EN,28,4,,,3,1,3,3,3,3,3|1|2|4,4,1,,,,,,,2,3,,4,,,,,,,,,,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication2|Replication1,Hypocrisy2|Acquiescence1|Hypocrisy1|Acquiescence2|Breach2|Incompetence1|Incompetence2|Breach1
6/5/19 12:19,6/5/19 12:23,1,,100,230,1,6/5/19 12:23,R_2DOZgr1f0N13I4K,,,,,36.05409241,-79.10549927,preview,EN,29,1,2,,,,,,,,4|2|3|1,3,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication2|Replication1,Hypocrisy1|Hypocrisy2|Breach2|Acquiescence2|Breach1|Acquiescence1|Incompetence1|Incompetence2
6/10/19 22:35,6/10/19 22:39,1,,100,262,1,6/10/19 22:39,R_1ff07tyIQ8StrAv,,,,,36.15150452,-86.79199982,preview,EN,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,,
6/10/19 22:39,6/10/19 22:46,1,,100,390,1,6/10/19 22:46,R_BywPxHIyFOLl5Fn,,,,,36.15150452,-86.79199982,preview,EN,19,4,,,1,8,1,1,2,4,2|4|1|3,5,1,5,1,1,1,1,3,2,4,5,4,4,2,5,11,,2,Previewing the survey,,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication2|Replication1,Incompetence1|Breach2|Hypocrisy1|Breach1|Acquiescence2|Hypocrisy2|Incompetence2|Acquiescence1
6/10/19 23:25,6/10/19 23:32,1,,100,443,1,6/10/19 23:32,R_4HmERin0gtxyeZ3,,,,,36.15150452,-86.79199982,preview,EN,31,1,1,,,1,3,1,4,2,3|1|4|2,4,1,1,1,5,5,3,3,2,1,2,4,1,3,3,2,,1,,,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_48,FL_56,FL_45,Replication1|Replication2,Incompetence2|Acquiescence1|Breach1|Breach2|Hypocrisy2|Hypocrisy1|Incompetence1|Acquiescence2
6/10/19 23:38,6/10/19 23:49,1,,100,661,1,6/10/19 23:49,R_1FhXDtbXqkVM1JM,,,,,36.15150452,-86.79199982,preview,EN,50,3,,,2,6,3,4,1,2,2|1|3|4,4,1,5,5,5,5,5,5,5,5,5,5,2,2,1,11,,1,,,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_41,FL_47,FL_57,FL_44,Replication1|Replication2,Incompetence1|Acquiescence1|Hypocrisy1|Acquiescence2|Breach1|Hypocrisy2|Incompetence2|Breach2
7/8/19 9:41,7/8/19 9:46,1,,100,336,1,7/8/19 9:46,R_10ZaWKJh5AWLCU2,,,,,35.91819763,-79.00350189,preview,EN,22,1,2,,,3,2,2,2,2,4|2|3|1,4,1,2,4,4,4,3,3,4,4,3,3,3,3,2,5,33,1,,,,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Obama,FL_41,FL_48,FL_57,FL_45,Replication2|Replication1,Incompetence2|Incompetence1|Acquiescence2|Breach2|Hypocrisy2|Acquiescence1|Hypocrisy1|Breach1
7/8/19 9:58,7/8/19 9:58,2,,100,1,1,7/8/19 9:58,R_1FSXLnNBgEKT3O5,,,,,35.91819763,-79.00350189,test,,88,1,1,,,1,4,4,3,1,4|2|1|3,3,1,1,5,4,4,1,3,3,3,5,2,3,2,3,10,Ridiculus! Luctus duis vestibulum suscipit. Dolorem massa primis? Culpa. Rutrum suscipit dolor.,2,"Purus mattis, rutrum primis viverra natoque eleifend rhoncus proin orci nullam. Maecenas, in justo tincidunt.",Platea. Elit risus wisi! Lacus ac accusamus placerat eget? Suscipit.,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Democrat,Republican,Democratic,Republican,Trump,FL_40,FL_47,FL_56,FL_44,Replication1|Replication2,Breach1|Incompetence1|Acquiescence2|Incompetence2|Breach2|Hypocrisy1|Hypocrisy2|Acquiescence1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_025rT1IGFAvCYi9,,,,,35.91819763,-79.00350189,test,,67,4,,,2,3,2,1,3,2,2|1|4|3,1,1,2,2,3,2,4,1,2,4,4,4,2,3,1,10,Culpa sagittis urna magna odio tempus aenean vel! Malesuada venenatis in enim vulputate.,2,Ligula? Iaculis eleifend quam faucibus nulla. Vestibulum sagittis? Molestie placerat pellentesque ullamcorper.,Odio. Velit vivamus ut tempor id felis fusce. Phasellus sodales ligula tellus atque orci suscipit.,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Republican,Democrat,Democratic,Republican,Trump,FL_41,FL_47,FL_57,FL_44,Replication2|Replication1,Hypocrisy2|Acquiescence2|Breach1|Breach2|Acquiescence1|Incompetence1|Incompetence2|Hypocrisy1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_3W8uc8jpz5lx5EF,,,,,35.91819763,-79.00350189,test,,86,2,,1,,3,2,2,4,4,4|1|2|3,5,1,2,1,3,2,1,2,3,3,2,5,2,1,1,1,Diam montes. Erat suspendisse? Facilisis eget vitae proin fermentum atque sit eleifend mattis dui.,2,Dignissim lectus vitae sem dolor bibendum ut rhoncus auctor dolor malesuada! Magnis potenti auctor ante.,Rutrum dapibus laoreet egestas diam lectus justo sed viverra euismod bibendum euismod egestas.,,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_48,FL_56,FL_45,Replication1|Replication2,Hypocrisy1|Incompetence2|Acquiescence2|Acquiescence1|Incompetence1|Breach1|Hypocrisy2|Breach2
7/8/19 9:58,7/8/19 9:58,2,,100,1,1,7/8/19 9:58,R_3rZB08pDUnPLOzX,,,,,35.91819763,-79.00350189,test,,54,1,2,,,5,3,4,3,4,1|4|2|3,1,1,2,4,3,4,3,4,3,4,4,1,1,3,3,9,Sodales aliquet volutpat potenti aenean nulla pretium mauris eleifend augue per risus. Pellentesque metus nibh.,1,,Laoreet vel non. Eleifend sollicitudin eget scelerisque vivamus vivamus? Pede in? Phasellus? Dolor.,,,,,,,,,,,,,,Democratic,Republican,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_40,FL_47,FL_56,FL_45,Replication1|Replication2,Hypocrisy2|Acquiescence1|Breach2|Incompetence1|Breach1|Acquiescence2|Incompetence2|Hypocrisy1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_dnlhKfIraQHRsEJ,,,,,35.91819763,-79.00350189,test,,26,1,2,,,1,3,4,1,1,3|2|1|4,2,1,2,2,1,4,5,4,3,5,3,2,4,2,4,5,Eu etiam imperdiet turpis vitae elit erat magna scelerisque montes. Id.,2,"Temporibus arcu imperdiet. Fringilla ante nibh sapien metus, sagittis dolorem sollicitudin fermentum integer est justo.","Ac iaculis sem dignissim mauris mattis, suspendisse sagittis est culpa, nonummy sodales sed rutrum.",,,,,,,,,,,,,,Republican,Democratic,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_41,FL_48,FL_57,FL_44,Replication2|Replication1,Incompetence2|Incompetence1|Acquiescence1|Hypocrisy1|Breach2|Hypocrisy2|Breach1|Acquiescence2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_3Er98Ax94m3B3RH,,,,,35.91819763,-79.00350189,test,,66,2,,2,,8,2,4,3,1,1|4|3|2,1,1,3,3,5,5,1,1,5,1,2,1,5,3,2,3,Mattis! Integer vel? Odio mattis orci curabitur pede arcu consequat venenatis proin elit pellentesque.,1,,"Lacus tortor venenatis, dignissim leo wisi? Temporibus placerat cras curabitur ab pede vel pharetra.",,,,,,,,,,,,,,Democratic,Republican,Republican,Democratic,Republican,Democrat,Democratic,Republican,Trump,FL_40,FL_48,FL_57,FL_44,Replication2|Replication1,Incompetence1|Breach1|Hypocrisy1|Incompetence2|Breach2|Acquiescence2|Acquiescence1|Hypocrisy2
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_02rkEgvDExpy5g1,,,,,35.91819763,-79.00350189,test,,67,3,,,1,1,1,2,4,1,2|3|1|4,2,1,1,3,1,2,1,5,5,1,3,5,2,3,3,10,Accumsan malesuada. Imperdiet urna mauris. Pretium at et wisi mattis pretium.,2,"Rhoncus dictumst? Ab elementum wisi gravida, mi sed placerat aliquam.",Pharetra! Fusce convallis amet magna dignissim accumsan. Ligula mi justo etiam augue.,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication1|Replication2,Hypocrisy2|Incompetence1|Acquiescence2|Acquiescence1|Hypocrisy1|Incompetence2|Breach2|Breach1
7/8/19 9:58,7/8/19 9:58,2,,100,0,1,7/8/19 9:58,R_eKdhV6tW5H2Ke0d,,,,,35.91819763,-79.00350189,test,,95,4,,,1,4,1,4,4,4,3|4|2|1,1,1,2,2,3,2,4,2,1,2,4,1,2,1,3,2,"Tortor orci malesuada, faucibus placerat magnis ullamcorper sapien diam tempus ab.",1,,Justo morbi facilisi. Luctus tellus elementum. Amet eleifend. Dignissim scelerisque. Consequat vestibulum magnis vitae.,,,,,,,,,,,,,,Republican,Democratic,Democratic,Republican,Democrat,Republican,Republican,Democratic,Obama,FL_41,FL_47,FL_56,FL_45,Replication2|Replication1,Hypocrisy2|Hypocrisy1|Acquiescence1|Acquiescence2|Breach1|Breach2|Incompetence2|Incompetence1
