CaseId,WEIGHT,RND_01,PID1,PIDA,PIDB,PIDI,PartyID5,PartyID7,RANDOMO,DATE_Q2BEG,TIME_Q2BEG,Q2_INSERT,Q2,DATE_Q2END,TIME_Q2END,DATE_Q3BEG,TIME_Q3BEG,Q3_INSERT,Q3,DATE_Q3END,TIME_Q3END,TIME_Q4BEG,DATE_Q4BEG,Q4,DATE_Q4END,TIME_Q4END,Q5,Q6,Q7,RELIG,RELIG_OE,ATTEND,D3,D4,D5,IDEO,STARTDT,ENDDT,duration,SURV_MODE,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
66,0.198119105,1,3,,,1,2,3,3,20180406,45610,1,2,20180406,45620,20180406,45576,1,4,20180406,45597,45597,20180406,4,20180406,45610,4,4,4,10,,1,1,1,,1,4/6/18 12:39,4/6/18 12:41,2,2,Desktop,1,28,1,2,1,10,3,5,1,13,GA,3,5,1,1,2,1,4,3,0,0,0,0,3
68,0.808320666,0,4,,,3,3,4,6,20180329,62421,0,3,20180329,62441,20180329,62402,0,4,20180329,62421,62384,20180329,2,20180329,62402,4,4,3,2,,6,1,2,,2,3/29/18 17:19,3/29/18 17:21,2,2,Smartphone,1,43,2,3,4,9,2,1,2,18,CA,4,9,1,1,2,1,4,4,0,2,0,0,2
72,0.479508793,0,3,,,1,2,3,5,20180328,52117,0,3,20180328,52137,20180328,52137,0,2,20180328,52153,52086,20180328,3,20180328,52117,4,4,4,1,,3,2,,,4,3/28/18 14:27,3/28/18 14:32,4,2,Smartphone,2,38,2,3,2,10,3,6,2,9,GA,3,5,1,1,1,1,2,5,0,2,0,1,2
74,2.411543757,0,2,,2,,5,6,3,20180328,73714,0,4,20180328,73722,20180328,73674,0,3,20180328,73701,73701,20180328,3,20180328,73714,4,3,3,10,,2,2,,,4,3/28/18 20:27,3/28/18 20:29,1,2,Desktop,1,56,3,5,1,13,4,1,1,18,TN,3,6,1,1,1,1,2,4,0,0,0,0,4
76,0.50512041,0,2,,2,,5,6,1,20180328,43646,0,4,20180328,43668,20180328,43668,0,4,20180328,43678,43678,20180328,2,20180328,43689,3,4,3,2,,7,2,,,4,3/28/18 12:07,3/28/18 12:08,1,2,Smartphone,2,48,3,4,1,10,3,1,1,16,PA,1,2,1,1,1,1,4,4,0,0,1,1,2
77,0.274512245,1,4,,,1,2,3,3,20180329,43567,1,3,20180329,43581,20180329,43537,1,2,20180329,43556,43556,20180329,1,20180329,43567,4,3,3,11,,1,2,,,4,3/29/18 12:04,3/29/18 12:07,2,2,Smartphone,1,29,1,2,4,11,3,6,1,3,FL,3,5,1,1,2,1,4,3,0,0,0,1,2
78,0.159999136,0,1,2,,,1,2,1,20180330,49118,0,3,20180330,49139,20180330,49139,0,3,20180330,49149,49149,20180330,5,20180330,49167,4,4,5,12,,1,3,,3,5,3/30/18 13:38,3/30/18 13:40,1,2,Desktop,1,38,2,3,4,12,4,3,1,9,FL,3,5,1,1,1,3,5,2,0,0,0,0,2
80,0.575550092,0,1,1,,,1,1,2,20180328,64823,0,3,20180328,64840,20180328,64878,0,3,20180328,64994,64840,20180328,3,20180328,64878,3,3,3,9,,1,1,2,,2,3/28/18 17:59,3/28/18 18:03,3,2,Tablet,1,30,2,2,1,9,2,5,1,9,KY,3,6,1,1,2,4,1,2,0,0,0,0,2
90,0.250362905,1,2,,2,,5,6,6,20180328,79124,1,3,20180328,79126,20180328,79117,1,2,20180328,79124,79110,20180328,2,20180328,79117,1,4,3,11,,2,2,,,4,3/28/18 21:58,3/28/18 21:59,0,2,Smartphone,1,33,2,2,1,10,3,6,1,14,MN,2,4,1,1,2,1,4,4,1,0,0,0,3
92,1.305568201,1,1,1,,,1,1,1,20180331,24101,1,3,20180331,24135,20180331,24135,1,3,20180331,24170,24170,20180331,2,20180331,24292,3,2,3,2,,3,2,,,4,3/31/18 6:41,3/31/18 6:45,4,2,Smartphone,2,46,3,4,4,9,2,1,1,14,NM,4,8,1,1,1,1,4,3,0,0,1,0,2
93,4.971730007,0,1,2,,,1,2,2,20180406,31746,0,3,20180406,31762,20180406,31773,0,3,20180406,31788,31762,20180406,3,20180406,31773,3,3,3,12,,2,2,,,4,4/6/18 8:48,4/6/18 8:50,1,2,Smartphone,2,42,2,3,1,9,2,5,1,11,OR,4,9,1,0,1,1,2,4,0,0,1,0,3
95,0.421926178,1,2,,1,,5,7,6,20180328,51320,1,5,20180328,51345,20180328,51297,1,4,20180328,51320,51273,20180328,2,20180328,51297,2,3,3,1,,5,3,,2,6,3/28/18 14:13,3/28/18 14:16,2,2,Desktop,2,74,4,6,1,10,3,1,5,9,GA,3,5,1,1,1,1,3,2,0,0,0,0,2
99,1.551854611,1,1,1,,,1,1,2,20180406,38208,1,3,20180406,38228,20180406,38245,1,4,20180406,38259,38228,20180406,3,20180406,38245,3,2,3,11,,1,1,2,,2,4/6/18 10:36,4/6/18 10:38,1,2,Desktop,2,65,4,6,1,13,4,6,1,13,CA,4,9,1,1,1,1,4,2,0,0,0,0,2
100,1.219467094,1,1,1,,,1,1,3,20180329,48755,1,98,20180329,48759,20180329,48646,1,3,20180329,48753,48753,20180329,98,20180329,48755,98,2,5,5,,4,1,2,,2,3/29/18 13:28,3/29/18 13:36,8,2,Desktop,1,88,4,7,1,13,4,2,5,11,NY,1,2,1,1,1,1,3,1,0,0,0,0,1
104,0.469542637,1,3,,,3,3,4,2,20180328,73936,1,3,20180328,73946,20180328,73963,1,3,20180328,73979,73946,20180328,3,20180328,73963,3,1,3,2,,7,2,,,4,3/28/18 20:31,3/28/18 20:41,9,2,Desktop,2,60,4,5,1,10,3,1,1,11,IL,2,3,1,1,1,1,1,3,0,0,0,0,3
108,0.399384987,1,3,,,1,2,3,4,20180403,34072,1,3,20180403,34092,20180403,34043,1,3,20180403,34072,34092,20180403,4,20180403,34119,3,3,4,9,,1,1,2,,2,4/3/18 9:26,4/3/18 9:30,3,2,Desktop,2,60,4,5,1,10,3,5,4,8,MN,2,4,1,1,1,1,2,1,0,0,0,0,1
112,0.241721379,0,4,,,3,3,4,6,20180328,72399,0,4,20180328,72411,20180328,72379,0,5,20180328,72399,72356,20180328,3,20180328,72379,3,3,2,12,,8,3,,3,5,3/28/18 20:05,3/28/18 20:07,2,2,Tablet,2,56,3,5,1,11,3,1,1,8,AZ,4,8,1,0,1,1,4,3,0,0,0,0,3
